week,meta_spend,google_spend,tv_spend,display_spend,revenue
2025-08-25,2036.97,2317.94,0.00,1114.04,13408.40
2025-09-01,2160.64,2294.00,0.00,1100.05,14792.42
2025-09-08,2839.76,2237.83,0.00,747.30,15876.41
2025-09-15,3156.68,1984.48,0.00,680.86,16564.91
2025-09-22,3387.04,2023.85,0.00,517.38,17253.65
2025-09-29,3484.80,1582.78,0.00,635.14,17170.41
2025-10-06,3562.24,1481.23,0.00,958.64,16700.19
2025-10-13,3231.97,1176.19,0.00,991.58,16833.43
2025-10-20,3433.41,1271.22,4000.00,1201.24,18785.01
2025-10-27,3199.15,1463.42,4000.00,1216.89,19726.70
2025-11-03,3379.67,1512.43,4000.00,943.50,20728.41
2025-11-10,2777.17,1914.86,4000.00,827.44,20058.25
2025-11-17,2249.40,2066.06,4000.00,610.80,19788.25
2025-11-24,1637.00,2338.69,0.00,613.64,17843.27
2025-12-01,1631.09,2474.81,0.00,723.37,17011.23
2025-12-08,1149.31,2520.27,0.00,822.18,15369.90
2025-12-15,1151.37,2328.47,0.00,1070.42,14604.25
2025-12-22,507.38,2068.63,0.00,1227.98,12643.29
2025-12-29,411.88,1565.23,0.00,1244.98,11122.78
2026-01-05,496.56,1268.18,0.00,975.83,10795.40
2026-01-12,560.66,1163.43,0.00,757.36,11092.43
2026-01-19,310.99,1359.28,0.00,654.24,10270.02
2026-01-26,418.13,1149.89,0.00,658.13,10458.50
2026-02-02,821.20,1451.87,0.00,625.60,11201.62
2026-02-09,1121.80,1983.89,0.00,953.14,12560.91
2026-02-16,1360.24,2011.87,0.00,1057.33,13055.38
2026-02-23,2176.03,2109.45,0.00,1198.85,14764.82
2026-03-02,2398.32,2239.31,0.00,1240.86,14979.22
2026-03-09,2511.66,2363.35,0.00,1111.98,15948.64
2026-03-16,2933.33,2120.37,0.00,808.03,16368.72
2026-03-23,3219.80,1810.51,5000.00,628.84,18298.32
2026-03-30,3775.96,1507.50,5000.00,508.76,21071.32
2026-04-06,3771.91,1488.62,5000.00,716.05,21415.53
2026-04-13,3261.76,1237.30,5000.00,932.38,21623.60
2026-04-20,3608.79,1056.38,5000.00,1154.75,21637.79
2026-04-27,3191.53,1288.81,5000.00,1187.94,21668.48
2026-05-04,2979.62,1626.26,5000.00,1131.57,21944.19
2026-05-11,2611.57,1718.82,0.00,941.65,19674.47
2026-05-18,2044.93,2271.28,0.00,894.94,18742.39
2026-05-25,1639.23,2134.85,0.00,698.17,16868.37
2026-06-01,1745.60,2276.94,0.00,544.64,15844.47
2026-06-08,1386.35,2542.22,0.00,679.33,14958.62
2026-06-15,1337.86,2192.11,0.00,861.49,14221.07
2026-06-22,594.12,1996.66,0.00,1152.29,12296.32
2026-06-29,237.78,1545.64,0.00,1184.31,10950.33
2026-07-06,741.91,1379.43,0.00,1161.93,11203.38
2026-07-13,494.47,1243.38,0.00,1001.68,10778.02
2026-07-20,873.67,1221.51,0.00,842.56,11250.73
2026-07-27,797.74,1165.24,0.00,573.06,11428.15
2026-08-03,1087.72,1557.28,0.00,696.80,11930.42
2026-08-10,998.73,1716.90,0.00,681.64,12086.52
2026-08-17,1884.54,1981.34,0.00,808.20,13538.57
